Pig.ID,Treatment,DPI,DPV,Exposed,wvELISA,IFA,VNResult
7314,LE/C,-43,0,NEG,-0.01,0,0
7324,LE/C,-43,0,NEG,-0.033,0,0
7325,LE/C,-43,0,NEG,0.03,0,0
7334,LE/C,-43,0,NEG,0.036,0,0
7350,LE/C,-43,0,NEG,0.002,0,0
7352,LE/C,-43,0,NEG,-0.028,0,0
7358,LE/C,-43,0,NEG,-0.023,0,0
7359,LE/C,-43,0,NEG,0.02,0,0
7362,LE/C,-43,0,NEG,-0.02,0,0
7365,LE/C,-43,0,NEG,-0.003,0,0
7313,NV/C,-43,0,NEG,-0.005,0,0
7337,NV/C,-43,0,NEG,0.032,0,0
7341,NV/C,-43,0,NEG,0.028,0,0
7345,NV/C,-43,0,NEG,-0.04,0,0
7355,NV/C,-43,0,NEG,-0.04,0,0
7357,NV/C,-43,0,NEG,-0.023,0,0
7360,NV/C,-43,0,NEG,0.046,0,0
7368,NV/C,-43,0,NEG,-0.008,0,0
7372,NV/C,-43,0,NEG,-0.027,0,0
7376,NV/C,-43,0,NEG,-0.002,0,0
7316,NV/NC,-43,0,NEG,0.007,0,0
7318,NV/NC,-43,0,NEG,-0.01,0,0
7320,NV/NC,-43,0,NEG,-0.032,0,0
7323,NV/NC,-43,0,NEG,0.018,0,0
7328,NV/NC,-43,0,NEG,-0.008,0,0
7330,NV/NC,-43,0,NEG,0.007,0,0
7336,NV/NC,-43,0,NEG,0.017,0,0
7344,NV/NC,-43,0,NEG,-0.03,0,0
7363,NV/NC,-43,0,NEG,-0.018,0,0
7371,NV/NC,-43,0,NEG,-0.018,4.321928095,0
7305,RP/C,-43,0,NEG,0.003,0,0
7315,RP/C,-43,0,NEG,-0.005,0,0
7327,RP/C,-43,0,NEG,0.032,0,0
7338,RP/C,-43,0,NEG,0.01,0,0
7339,RP/C,-43,0,NEG,0.002,0,0
7346,RP/C,-43,0,NEG,-0.027,0,0
7348,RP/C,-43,0,NEG,-0.041,0,0
7351,RP/C,-43,0,NEG,0.002,0,0
7367,RP/C,-43,0,NEG,0.008,0,0
7378,RP/C,-43,0,NEG,-0.027,0,0
7304,RPAdj/C,-43,0,NEG,0.055,0,0
7310,RPAdj/C,-43,0,NEG,0.056,0,0
7326,RPAdj/C,-43,0,NEG,0.028,0,0
7333,RPAdj/C,-43,0,NEG,-0.007,0,0
7340,RPAdj/C,-43,0,NEG,0.007,0,0
7349,RPAdj/C,-43,0,NEG,-0.035,0,0
7361,RPAdj/C,-43,0,NEG,0.017,0,0
7366,RPAdj/C,-43,0,NEG,-0.028,0,0
7377,RPAdj/C,-43,0,NEG,-0.013,0,0
7379,RPAdj/C,-43,0,NEG,0.022,0,0
7314,LE/C,-19,24,POS,2.178,9.321928095,5.321928095
7324,LE/C,-19,24,POS,0.635,6.321928095,4.321928095
7325,LE/C,-19,24,POS,1.167,7.321928095,5.321928095
7334,LE/C,-19,24,POS,1.446,6.321928095,4.321928095
7350,LE/C,-19,24,POS,0.643,5.321928095,4.321928095
7352,LE/C,-19,24,POS,0.688,0,4.321928095
7358,LE/C,-19,24,POS,0.58,0,5.321928095
7359,LE/C,-19,24,POS,0.719,0,5.321928095
7362,LE/C,-19,24,POS,0.373,6.321928095,3.321928095
7365,LE/C,-19,24,POS,0.637,6.321928095,3.321928095
7313,NV/C,-19,24,NEG,-0.032,4.321928095,0
7337,NV/C,-19,24,NEG,0.059,0,0
7341,NV/C,-19,24,NEG,-0.024,4.321928095,0
7345,NV/C,-19,24,NEG,-0.014,0,0
7355,NV/C,-19,24,NEG,0.021,0,0
7357,NV/C,-19,24,NEG,0.088,0,0
7360,NV/C,-19,24,NEG,0.008,0,0
